epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,709.421,0.99993,2.63474,1.24589,0.49512,0.96729,0.74625,0.72137,0.36681,2.2266,0.92767,0.0004357,0.0004357,0.0004357
59,721.673,0.82463,2.61338,1.19166,0.50428,1,0.74625,0.74625,0.30929,2.31745,0.91382,0.0004258,0.0004258,0.0004258
60,733.68,0.62251,2.43019,1.19741,0.50428,1,0.74625,0.74625,0.30929,2.31745,0.91382,0.0004159,0.0004159,0.0004159
61,745.765,0.52211,2.32149,1.11615,0.50428,1,0.74625,0.74625,0.30929,2.31745,0.91382,0.000406,0.000406,0.000406
62,757.845,0.53066,2.55045,1.08495,0.50428,1,0.74625,0.74625,0.30929,2.31745,0.91382,0.0003961,0.0003961,0.0003961
63,769.878,0.58299,2.55076,1.19556,0.50428,1,0.74625,0.74625,0.30929,2.31745,0.91382,0.0003862,0.0003862,0.0003862
64,781.874,0.72118,2.64001,1.11633,0.50428,1,0.74625,0.74625,0.30929,2.31745,0.91382,0.0003763,0.0003763,0.0003763
65,793.879,0.70638,2.43483,1.1003,0.50428,1,0.74625,0.74625,0.30929,2.31745,0.91382,0.0003664,0.0003664,0.0003664
66,805.935,0.86711,2.7797,1.2692,0.50428,1,0.74625,0.74625,0.30929,2.31745,0.91382,0.0003565,0.0003565,0.0003565
67,818.089,0.69837,2.65401,1.0534,0.50428,1,0.74625,0.74625,0.30929,2.31745,0.91382,0.0003466,0.0003466,0.0003466
68,830.109,0.71634,2.63766,1.20386,0.50428,1,0.74625,0.74625,0.30929,2.31745,0.91382,0.0003367,0.0003367,0.0003367
69,842.416,0.67017,2.96255,1.31344,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.0003268,0.0003268,0.0003268
70,854.601,0.53551,2.36402,1.07509,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.0003169,0.0003169,0.0003169
71,866.654,0.56247,2.49336,1.09889,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.000307,0.000307,0.000307
72,878.756,0.60136,2.37366,1.01343,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.0002971,0.0002971,0.0002971
73,890.85,0.51941,2.4375,1.02912,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.0002872,0.0002872,0.0002872
74,902.857,0.57076,2.75299,1.15327,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.0002773,0.0002773,0.0002773
75,914.875,0.43803,2.2952,1.00966,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.0002674,0.0002674,0.0002674
76,926.987,0.72349,2.45212,1.07772,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.0002575,0.0002575,0.0002575
77,939.618,0.5767,2.68668,1.1338,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.0002476,0.0002476,0.0002476
78,953.032,0.55323,2.56842,1.20353,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.0002377,0.0002377,0.0002377
79,966.474,0.65857,2.31084,1.1019,0.71664,1,0.995,0.995,0.27472,2.06253,0.89578,0.0002278,0.0002278,0.0002278
80,980.078,0.67701,2.42995,1.18488,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.0002179,0.0002179,0.0002179
81,994.803,0.44451,2.41739,1.07149,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.000208,0.000208,0.000208
82,1008.85,0.64686,2.76202,1.20118,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.0001981,0.0001981,0.0001981
83,1021.95,0.56491,2.42062,1.05108,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.0001882,0.0001882,0.0001882
84,1034.84,0.65682,2.23077,1.02846,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.0001783,0.0001783,0.0001783
85,1048.12,0.68618,2.62903,1.19749,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.0001684,0.0001684,0.0001684
86,1060.58,0.60329,2.47359,1.08781,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.0001585,0.0001585,0.0001585
87,1073.38,0.52266,2.33119,1.03765,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.0001486,0.0001486,0.0001486
